primaryName,knownForTitles,averageRating
Ingmar Bergman,"Cries & Whispers, Fanny and Alexander, The Seventh Seal, Wild Strawberries, ",6.966666667
Federico Fellini,"La Dolce Vita, Amarcord, La Strada, 8Â½, ",8.033333333
Alfred Hitchcock,"Love, Cheat & Steal, ",7.7625
Gene Kelly,"Anaconda, The Rich Man's Wife, The Mask of Zorro, The Assassin, ",7.1
Stanley Kubrick,"A Clockwork Orange, Eyes Wide Shut, Barry Lyndon, 2001: A Space Odyssey, ",8.142857143
Akira Kurosawa,"Ran, Rashomon, The Hidden Fortress, Kagemusha, ",8.38
FranÃ§ois Truffaut,"Jules and Jim, Close Encounters of the Third Kind, Day for Night, The 400 Blows, ",7.3
Woody Allen,"Annie Hall, Manhattan, Crimes and Misdemeanors, Deconstructing Harry, ",7.8
Luc Besson,"The Fifth Element, La Femme Nikita, LÃ©on: The Professional, ",7.833333333
James Cameron,"ITV Playhouse, Screenplay, ",8.094736842
John Carpenter,,7.064
Wes Craven,"Wes Craven's New Nightmare, Scream, A Nightmare on Elm Street, The People Under the Stairs, ",6.164285714
Clint Eastwood,"The Bridges of Madison County, Million Dollar Baby, Unforgiven, ",6.6
Jodie Foster,"The Brave One, Contact, The Accused, The Silence of the Lambs, ",6.6
Morgan Freeman,"54, The Big Hit, The Life Before This, The Last Chapter II: The War Continues, ",6.5
Ron Howard,"Arrested Development, Apollo 13, Frost/Nixon, A Beautiful Mind, ",6.836363636
Stephen King,"The Abnormal Female, ",5.5
David Lean,"Wonder Boys, Out of Courage 2: Out for Vengeance, ",7.36
George Lucas,"Star Wars: Episode IV - A New Hope, American Graffiti, THX 1138, Raiders of the Lost Ark, ",7.423333333
David Lynch,"Girls Town, The Girl Can't Help It, European Nights, Coronation, ",7.36
Martin Scorsese,"Mean Streets, The Age of Innocence, Goodfellas, Taxi Driver, ",7.840909091
Steven Spielberg,"Schindler's List, E.T. the Extra-Terrestrial, Raiders of the Lost Ark, Saving Private Ryan, ",7.447916667
Sylvester Stallone,"Rocky IV, Rocky III, Rocky, ",4.6
Oliver Stone,,7.272727273
Quentin Tarantino,"From Dusk Till Dawn, Reservoir Dogs, Pulp Fiction, ",7.95
John Woo,"How High, Mad About You, P.O.V., Bring It On, ",6.575
Pedro AlmodÃ³var,"Women on the Verge of a Nervous Breakdown, Volver, Talk to Her, ",7.266666667
Robert Altman,"The Player, Short Cuts, Gosford Park, MASH, ",7.1
Jean-Jacques Annaud,"Enemy at the Gates, The Name of the Rose, Seven Years in Tibet, ",7.45
Richard Attenborough,"Gandhi, Jurassic Park, Miracle on 34th Street, The Great Escape, ",7.4
Mel Brooks,"The Producers, Blazing Saddles, History of the World: Part I, Spaceballs, ",7.4875
Tim Burton,"Bring It On, ",7.315384615
Francis Ford Coppola,"The Godfather: Part II, The Godfather, Apocalypse Now, The Conversation, ",7.706666667
Roger Corman,"Roger Corman's Frankenstein Unbound, Little Shop of Horrors, The Silence of the Lambs, The Wild Angels, ",6.772727273
Michael Crichton,"Twister, Westworld, Jurassic Park, ER, ",6.6
David Cronenberg,"eXistenZ, The Fly, Dead Ringers, Crash, ",7.1
Brian De Palma,"Dressed to Kill, Phantom of the Paradise, Snake Eyes, Body Double, ",6.81875
Roland Emmerich,"Godzilla, The Day After Tomorrow, Independence Day, ",6.7
