tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000001,5.6,1538,short,Carmencita,Carmencita,0,1894,\N,1,Documentary
tt0000001,5.6,1538,short,Carmencita,Carmencita,0,1894,\N,1,Short
tt0000002,6.1,186,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,Animation
tt0000002,6.1,186,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,Short
tt0000003,6.5,1198,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,Animation
tt0000003,6.5,1198,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,Comedy
tt0000003,6.5,1198,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,Romance
tt0000004,6.2,114,short,Un bon bock,Un bon bock,0,1892,\N,\N,Animation
tt0000004,6.2,114,short,Un bon bock,Un bon bock,0,1892,\N,\N,Short
tt0000005,6.1,1910,short,Blacksmith Scene,Blacksmith Scene,0,1893,\N,1,Comedy
tt0000005,6.1,1910,short,Blacksmith Scene,Blacksmith Scene,0,1893,\N,1,Short
tt0000006,5.2,102,short,Chinese Opium Den,Chinese Opium Den,0,1894,\N,1,Short
tt0000007,5.4,612,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,\N,1,Short
tt0000007,5.4,612,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,\N,1,Sport
tt0000008,5.4,1644,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,\N,1,Documentary
tt0000008,5.4,1644,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,\N,1,Short
tt0000009,5.4,81,movie,Miss Jerry,Miss Jerry,0,1894,\N,45,Romance
tt0000010,6.9,5488,short,Exiting the Factory,La sortie de l'usine LumiÃ¨re Ã  Lyon,0,1895,\N,1,Documentary
tt0000010,6.9,5488,short,Exiting the Factory,La sortie de l'usine LumiÃ¨re Ã  Lyon,0,1895,\N,1,Short
tt0000011,5.2,234,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,\N,1,Documentary
tt0000011,5.2,234,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,\N,1,Short
tt0000012,7.4,9317,short,The Arrival of a Train,L'arrivÃ©e d'un train Ã  La Ciotat,0,1896,\N,1,Action
tt0000012,7.4,9317,short,The Arrival of a Train,L'arrivÃ©e d'un train Ã  La Ciotat,0,1896,\N,1,Documentary
tt0000012,7.4,9317,short,The Arrival of a Train,L'arrivÃ©e d'un train Ã  La Ciotat,0,1896,\N,1,Short
tt0000013,5.7,1428,short,The Photographical Congress Arrives in Lyon,Neuville-sur-SaÃ´ne: DÃ©barquement du congrÃ¨s des photographes Ã  Lyon,0,1895,\N,1,Documentary
tt0000013,5.7,1428,short,The Photographical Congress Arrives in Lyon,Neuville-sur-SaÃ´ne: DÃ©barquement du congrÃ¨s des photographes Ã  Lyon,0,1895,\N,1,Short
tt0000014,7.1,4067,short,The Sprinkler Sprinkled,L'arroseur arrosÃ©,0,1895,\N,1,Comedy
tt0000014,7.1,4067,short,The Sprinkler Sprinkled,L'arroseur arrosÃ©,0,1895,\N,1,Short
tt0000015,6.1,736,short,Autour d'une cabine,Autour d'une cabine,0,1894,\N,2,Animation
tt0000015,6.1,736,short,Autour d'une cabine,Autour d'une cabine,0,1894,\N,2,Short
tt0000016,5.9,1069,short,Barque sortant du port,Barque sortant du port,0,1895,\N,1,Documentary
tt0000016,5.9,1069,short,Barque sortant du port,Barque sortant du port,0,1895,\N,1,Short
tt0000017,4.7,213,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,Documentary
tt0000017,4.7,213,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,Short
tt0000018,5.4,442,short,Das boxende KÃ¤nguruh,Das boxende KÃ¤nguruh,0,1895,\N,1,Short
tt0000019,5.6,16,short,The Clown Barber,The Clown Barber,0,1898,\N,\N,Comedy
tt0000019,5.6,16,short,The Clown Barber,The Clown Barber,0,1898,\N,\N,Short
tt0000020,5.0,244,short,The Derby 1895,The Derby 1895,0,1895,\N,1,Documentary
tt0000020,5.0,244,short,The Derby 1895,The Derby 1895,0,1895,\N,1,Short
