primaryName,knownForTitles,averageRating
Fred Astaire,"The Towering Inferno, On the Beach, Funny Face, Three Little Words, ",7.68
Lauren Bacall,"Murder on the Orient Express, The Mirror Has Two Faces, The Big Sleep, To Have and Have Not, ",7.016666667
Brigitte Bardot,"Contempt, Viva Maria!, ...And God Created Woman, La VÃ©ritÃ©, ",6.6
John Belushi,"National Lampoon's Animal House, Saturday Night Live, 1941, The Blues Brothers, ",6.775
Ingrid Bergman,"The 56th Annual Academy Awards, Cries & Whispers, Fanny and Alexander, Autumn Sonata, ",7.75
Humphrey Bogart,"The African Queen, To Have and Have Not, Casablanca, The Maltese Falcon, ",8.025
Marlon Brando,"Last Tango in Paris, The Godfather, Apocalypse Now, A Streetcar Named Desire, ",7.730434783
Richard Burton,"Cyber Bandits, ",5.827272727
James Cagney,"Yankee Doodle Dandy, One, Two, Three, Angels with Dirty Faces, The Roaring Twenties, ",7.9
Gary Cooper,"No Nukes, Document of the Dead, ",7.45
Bette Davis,"Dark Victory, Now, Voyager, All About Eve, What Ever Happened to Baby Jane?, ",7.016666667
Doris Day,"Village Barn Dance, Mr. Celebrity, Thou Shalt Not Kill, Federal Fugitives, ",7.14
Olivia de Havilland,"Gone with the Wind, The Adventures of Robin Hood, The Snake Pit, The Heiress, ",6.6
James Dean,"Letters to a Street Child, ",7.7
Marlene Dietrich,"Morocco, Witness for the Prosecution, Touch of Evil, Judgment at Nuremberg, ",8.3
Kirk Douglas,"Apollo 13, Volcano, Hard Target, ",7.226666667
Henry Fonda,"The Grapes of Wrath, Once Upon a Time in the West, On Golden Pond, 12 Angry Men, ",7.508333333
Joan Fontaine,"Suspicion, Rebecca, Ivy, Jane Eyre, ",6.866666667
Clark Gable,"Mutiny on the Bounty, Teacher's Pet, It Happened One Night, Gone with the Wind, ",7.657142857
Judy Garland,"Judgment at Nuremberg, The Wizard of Oz, Meet Me in St. Louis, A Star Is Born, ",7.26
John Gielgud,"Julius Caesar, Murder on the Orient Express, Arthur, Shine, ",6.628571429
Cary Grant,"Charade, His Girl Friday, North by Northwest, To Catch a Thief, ",7.46
Alec Guinness,"Kind Hearts and Coronets, Star Wars: Episode IV - A New Hope, The Bridge on the River Kwai, The Horse's Mouth, ",8.4
Margaux Hemingway,"Inner Sanctum, Inner Sanctum II, Lipstick, Killer Fish, ",5.7
Audrey Hepburn,"Breakfast at Tiffany's, Roman Holiday, Charade, My Fair Lady, ",7.688888889
Katharine Hepburn,"The African Queen, On Golden Pond, The Philadelphia Story, The Lion in Winter, ",6.85
Charlton Heston,"Soylent Green, Ben-Hur, The Ten Commandments, Planet of the Apes, ",7.12
William Holden,"Weary River, Holiday, Dance, Fools, Dance, Not So Dumb, ",6.9
Gene Kelly,"Anaconda, The Rich Man's Wife, The Mask of Zorro, The Assassin, ",7
Grace Kelly,"Dial M for Murder, High Noon, To Catch a Thief, Rear Window, ",8.0375
Deborah Kerr,"Black Narcissus, An Affair to Remember, The King and I, From Here to Eternity, ",7.4
Alan Ladd,"Sakura Tales 4, Frantic, ",7.6
Burt Lancaster,"From Here to Eternity, Elmer Gantry, Gunfight at the O.K. Corral, Atlantic City, ",7.409090909
Bruce Lee,"How to Smoke Pot, The Fallen Ones, Frost: Portrait of a Vampire, ",7.46
Vivien Leigh,"Waterloo Bridge, That Hamilton Woman, Gone with the Wind, A Streetcar Named Desire, ",8.05
Sophia Loren,"Two Women, Marriage Italian Style, Arabesque, A Special Day, ",6.42
Peter Lorre,"Bloody Mary, ",6.972727273
James Mason,"Pitch People, ",7.58
Marcello Mastroianni,"Yesterday, Today and Tomorrow, Divorce Italian Style, La Dolce Vita, 8Â½, ",7.3
Robert Mitchum,"Out of the Past, The Night of the Hunter, The Longest Day, Cape Fear, ",6.875
Marilyn Monroe,"Some Like It Hot, The Seven Year Itch, The Prince and the Showgirl, Gentlemen Prefer Blondes, ",7.385714286
Paul Newman,"Graveyard Clay, C.P.W., Garage, ",7.043478261
David Niven,"Frequency, The Hurricane, Interstate 60: Episodes of the Road, Maximum Risk, ",6.308333333
Maureen O'Hara,"The Quiet Man, The Parent Trap, Miracle on 34th Street, Bagdad, ",7.266666667
Laurence Olivier,"Sleuth, Rebecca, Hamlet, Spartacus, ",6.911111111
Gregory Peck,"Twelve O'Clock High, To Kill a Mockingbird, Gentleman's Agreement, Roman Holiday, ",7.405882353
Tyrone Power,"The Mark of Zorro, The Razor's Edge, Rawhide, Witness for the Prosecution, ",7.4
Elvis Presley,"Tickle Me, Blue Hawaii, Girls! Girls! Girls!, G.I. Blues, ",5.833333333
Anthony Quinn,"Zorba the Greek, The Shoes of the Fisherman, Lawrence of Arabia, Lust for Life, ",6.18
Edward G. Robinson,"Key Largo, Double Indemnity, Soylent Green, Little Caesar, ",7.65
Randolph Scott,"Stompin' at the Savoy, LÃ©on: The Professional, The Capture of Bigfoot, Coming to America, ",6.5
Frank Sinatra,"From Here to Eternity, Some Came Running, The Manchurian Candidate, Pal Joey, ",7.9
James Stewart,,7.884615385
Elizabeth Taylor,"Dumpster Baby, ",7.075
Shirley Temple,"Captain January, Fort Apache, Rebecca of Sunnybrook Farm, The Blue Bird, ",7.5
Gene Tierney,"Laura, Leave Her to Heaven, Dragonwyck, The Ghost and Mrs. Muir, ",6.933333333
Spencer Tracy,"Inherit the Wind, Judgment at Nuremberg, It's a Mad Mad Mad Mad World, Guess Who's Coming to Dinner, ",7.516666667
FranÃ§ois Truffaut,"Jules and Jim, Close Encounters of the Third Kind, Day for Night, The 400 Blows, ",7.666666667
John Wayne,"Public Eye, ITV Playhouse, A Performance of Macbeth, ",7.239285714
Raquel Welch,"Fathom, Kansas City Bomber, The Three Musketeers, The Last of Sheila, ",5.55
Orson Welles,"Citizen Kane, The Trial, Touch of Evil, Mr. Arkadin, ",7.581818182
Natalie Wood,"T.Bag and the Rings of Olympus, ",6.933333333
Armin Mueller-Stahl,"The International, The Thirteenth Floor, Eastern Promises, Shine, ",5.2
John Cleese,"Monty Python's Life of Brian, Monty Python and the Holy Grail, The Meaning of Life, A Fish Called Wanda, ",7.283333333
Brad Pitt,"12 Monkeys, Mr. & Mrs. Smith, World War Z, ",7.385714286
Woody Allen,"Annie Hall, Manhattan, Crimes and Misdemeanors, Deconstructing Harry, ",7.151515152
Gillian Anderson,"The Last King of Scotland, Bleak House, The X-Files, ",7
Pamela Anderson,"Doppelganger, Showgirls, Some Kind of Wonderful, Crimes of Passion, ",3.3
Jennifer Aniston,"Friends, ",5.68
Patricia Arquette,"Stigmata, True Romance, Medium, ",6.883333333
Rowan Atkinson,"Johnny English, Bean, The Lion King, Keeping Mum, ",6.5
Dan Aykroyd,"Blues Brothers 2000, Ghostbusters, The Blues Brothers, Ghostbusters II, ",6.388888889
Kevin Bacon,"Mystic River, Footloose, The Woodsman, Hollow Man, ",6.765
Fairuza Balk,"American History X, Almost Famous, Return to Oz, The Craft, ",6.15
Antonio Banderas,"The 13th Warrior, Desperado, The Mask of Zorro, ",6.7
Adrienne Barbeau,"The Fog, Back to School, Escape from New York, ",6.877777778
Drew Barrymore,"The Wedding Singer, Never Been Kissed, 50 First Dates, Ever After: A Cinderella Story, ",6.671428571
Kim Basinger,"Wayne's World 2, Batman, L.A. Confidential, Cellular, ",6.094736842
Kenneth Branagh,"Hamlet, Much Ado About Nothing, Henry V, ",6.15
